blue_metaldetector = { name = 'blue_metaldetector', label = 'Beginner\'s Beacon', weight = 475, type = 'item', image = 'blue_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
green_metaldetector = { name = 'green_metaldetector', label = 'Lustrous Locator', weight = 475, type = 'item', image = 'green_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
red_metaldetector = { name = 'red_metaldetector', label = 'Treasure Trove Tracker', weight = 475, type = 'item', image = 'red_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
orange_metaldetector = { name = 'orange_metaldetector', label = 'Goldseeker\'s Grail', weight = 475, type = 'item', image = 'orange_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
black_metaldetector = { name = 'black_metaldetector', label = 'Archaeo Ace', weight = 475, type = 'item', image = 'black_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
md_shovel = { name = 'md_shovel', label = 'Shovel', weight = 55, type = 'item', image = 'md_shovel.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
md_bottlecap = { name = 'md_bottlecap', label = 'Bottle Cap', weight = 25, type = 'item', image = 'md_bottlecap.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_brokenjunk = { name = 'md_brokenjunk', label = 'Broken Junk', weight = 25, type = 'item', image = 'md_brokenjunk.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_crushedcan = { name = 'md_crushedcan', label = 'Crushed Can', weight = 25, type = 'item', image = 'md_crushedcan.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_lighter = { name = 'md_lighter', label = 'Lighter', weight = 25, type = 'item', image = 'md_lighter.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_metalcan = { name = 'md_metalcan', label = 'Metal Can', weight = 25, type = 'item', image = 'md_metalcan.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_nails = { name = 'md_nails', label = 'Nails', weight = 25, type = 'item', image = 'md_nails.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_needle = { name = 'md_needle', label = 'Needle', weight = 25, type = 'item', image = 'md_needle.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_nickle = { name = 'md_nickle', label = 'Nickle', weight = 25, type = 'item', image = 'md_nickle.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_nut = { name = 'md_nut', label = 'Nut', weight = 25, type = 'item', image = 'md_nut.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_oldshotgunshell = { name = 'md_oldshotgunshell', label = 'Old Shotgun Shell', weight = 25, type = 'item', image = 'md_oldshotgunshell.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_paperclip = { name = 'md_paperclip', label = 'Paper Clip', weight = 25, type = 'item', image = 'md_paperclip.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_pulltab = { name = 'md_pulltab', label = 'Pull Tab', weight = 25, type = 'item', image = 'md_pulltab.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_quarter = { name = 'md_quarter', label = 'Quarter', weight = 25, type = 'item', image = 'md_quarter.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyball = { name = 'md_rustyball', label = 'Rusty Ball', weight = 25, type = 'item', image = 'md_rustyball.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyironball = { name = 'md_rustyironball', label = 'Rusty Iron Ball', weight = 25, type = 'item', image = 'md_rustyironball.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyjunk = { name = 'md_rustyjunk', label = 'Rusty Junk', weight = 25, type = 'item', image = 'md_rustyjunk.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustynails = { name = 'md_rustynails', label = 'Rusty Nails', weight = 25, type = 'item', image = 'md_rustynails.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustypliers = { name = 'md_rustypliers', label = 'Rusty Pliers', weight = 25, type = 'item', image = 'md_rustypliers.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyring = { name = 'md_rustyring', label = 'Rusty Ring', weight = 25, type = 'item', image = 'md_rustyring.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyscissors = { name = 'md_rustyscissors', label = 'Rusty Scissors', weight = 25, type = 'item', image = 'md_rustyscissors.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_rustyscrewdriver = { name = 'md_rustyscrewdriver', label = 'Rusty Screwdriver', weight = 25, type = 'item', image = 'md_rustyscrewdriver.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
